requestNum,experiment,test,jobFile,operation,targetTable,region,PK,jobTimestamp,jobSecond,jobTimestampMs,jobElapsed,latency,velocity,httpStatusCode,attempts,ConsumedCapacity
6,E1744342049,MRSC strong reads, us-east-1,load-smallitems.js,get,MRSC,us-east-1,C-6,1744342053,1,266,265,52,,200,1,1
7,E1744342049,MRSC strong reads, us-east-1,load-smallitems.js,get,MRSC,us-east-1,C-7,1744342053,1,318,317,50,,200,1,1
8,E1744342049,MRSC strong reads, us-east-1,load-smallitems.js,get,MRSC,us-east-1,C-8,1744342053,1,368,367,58,,200,1,1
9,E1744342049,MRSC strong reads, us-east-1,load-smallitems.js,get,MRSC,us-east-1,C-9,1744342053,1,426,425,58,,200,1,1
10,E1744342049,MRSC strong reads, us-east-1,load-smallitems.js,get,MRSC,us-east-1,C-10,1744342053,1,484,483,56,,200,1,1
11,E1744342049,MRSC strong reads, us-east-1,load-smallitems.js,get,MRSC,us-east-1,C-11,1744342053,1,540,539,60,,200,1,1
12,E1744342049,MRSC strong reads, us-east-1,load-smallitems.js,get,MRSC,us-east-1,C-12,1744342053,1,600,599,54,,200,1,1
13,E1744342049,MRSC strong reads, us-east-1,load-smallitems.js,get,MRSC,us-east-1,C-13,1744342053,1,654,653,55,,200,1,1
14,E1744342049,MRSC strong reads, us-east-1,load-smallitems.js,get,MRSC,us-east-1,C-14,1744342053,1,709,708,59,,200,1,1
15,E1744342049,MRSC strong reads, us-east-1,load-smallitems.js,get,MRSC,us-east-1,C-15,1744342053,1,768,767,59,,200,1,1
16,E1744342049,MRSC strong reads, us-east-1,load-smallitems.js,get,MRSC,us-east-1,C-16,1744342053,1,827,826,60,,200,1,1
17,E1744342049,MRSC strong reads, us-east-1,load-smallitems.js,get,MRSC,us-east-1,C-17,1744342053,1,887,886,57,,200,1,1
18,E1744342049,MRSC strong reads, us-east-1,load-smallitems.js,get,MRSC,us-east-1,C-18,1744342053,1,944,943,58,18,200,1,1
19,E1744342049,MRSC strong reads, us-east-1,load-smallitems.js,get,MRSC,us-east-1,C-19,1744342054,2,2,1001,53,,200,1,1
20,E1744342049,MRSC strong reads, us-east-1,load-smallitems.js,get,MRSC,us-east-1,C-20,1744342054,2,55,1054,52,,200,1,1
